省,市,商品名称,产品名称,订单行数,数量合计,GMV合计
江苏省,淮安市,美极鲜味汁12x400ml,美极鲜味汁 12x400毫升,69,133.0,2412.7008
辽宁省,阜新市,美极鲜味汁12x400ml,美极鲜味汁 12x400毫升,69,133.0,2383.5101
安徽省,亳州市,美极鲜味汁12x400ml,美极鲜味汁 12x400毫升,61,128.0,2358.5291
安徽省,蚌埠市,美极鲜味汁12x400ml,美极鲜味汁 12x400毫升,60,127.0,2351.9505
河南省,信阳市,美极鲜味汁12x400ml,美极鲜味汁 12x400毫升,60,126.0,2317.9610000000002
广东省,揭阳市,美极鲜味汁12x400ml,美极鲜味汁 12x400毫升,69,125.0,2253.1781
安徽省,芜湖市,美极鲜味汁12x400ml,美极鲜味汁 12x400毫升,62,122.0,2235.35
海南省,省直辖县级行政区划,美极鲜味汁12x400ml,美极鲜味汁 12x400毫升,62,135.0,2231.1404
安徽省,六安市,美极鲜味汁12x400ml,美极鲜味汁 12x400毫升,60,122.0,2224.6084
安徽省,滁州市,美极鲜味汁12x400ml,美极鲜味汁 12x400毫升,60,116.0,2125.838
广东省,肇庆市,美极鲜味汁12x400ml,美极鲜味汁 12x400毫升,66,115.0,2119.2013
河南省,商丘市,美极鲜味汁12x400ml,美极鲜味汁 12x400毫升,62,120.0,2108.6964
贵州省,遵义市,美极鲜味汁12x400ml,美极鲜味汁 12x400毫升,51,113.0,2100.714
四川省,绵阳市,美极鲜味汁12x400ml,美极鲜味汁 12x400毫升,67,116.0,2091.3106
广东省,茂名市,美极鲜味汁12x400ml,美极鲜味汁 12x400毫升,74,111.0,2088.2033
辽宁省,朝阳市,美极鲜味汁12x400ml,美极鲜味汁 12x400毫升,57,117.0,2086.7904
