省,市,商品名称,产品名称,订单行数,数量合计,GMV合计
四川省,凉山彝族自治州,美极鲜味汁24x200ml,美极鲜味汁 24x200毫升,1,2.0,27.99
甘肃省,酒泉市,美极鲜味汁24x200ml,美极鲜味汁 24x200毫升,1,2.0,27.99
山西省,运城市,美极鲜味汁24x200ml,美极鲜味汁 24x200毫升,2,2.0,27.380000000000003
吉林省,通化市,美极鲜味汁28x100ml,美极鲜味汁 28x100毫升,1,4.0,27.27
福建省,宁德市,美极鲜味汁28x100ml,美极鲜味汁 28x100毫升,2,3.0,27.2
湖北省,鄂州市,美极鲜味汁24x200ml,美极鲜味汁 24x200毫升,1,2.0,27.0
海南省,儋州市,美极鲜味汁24x200ml,美极鲜味汁 24x200毫升,1,2.0,26.5
四川省,雅安市,美极鲜味汁24x200ml,美极鲜味汁 24x200毫升,1,2.0,26.5
陕西省,商洛市,美极鲜味汁24x200ml,美极鲜味汁 24x200毫升,1,2.0,26.5
甘肃省,武威市,美极鲜味汁24x200ml,美极鲜味汁 24x200毫升,1,2.0,26.5
安徽省,蚌埠市,美极鲜味汁28x100ml,美极鲜味汁 28x100毫升,3,3.0,25.37
安徽省,黄山市,美极鲜味汁24x200ml,美极鲜味汁 24x200毫升,1,2.0,25.18
海南省,东方市,美极鲜味汁24x200ml,美极鲜味汁 24x200毫升,1,2.0,23.5
四川省,广安市,美极鲜味汁28x100ml,美极鲜味汁 28x100毫升,1,2.0,23.33
广西壮族自治区,桂林市,美极鲜味汁28x100ml,美极鲜味汁 28x100毫升,2,2.0,23.07
甘肃省,临夏回族自治州,美极鲜味汁28x100ml,美极鲜味汁 28x100毫升,2,2.0,22.8
河南省,周口市,美极鲜味汁28x100ml,美极鲜味汁 28x100毫升,2,2.0,22.78
广东省,阳江市,美极鲜味汁28x100ml,美极鲜味汁 28x100毫升,2,2.0,22.3
广西壮族自治区,贵港市,美极鲜味汁28x100ml,美极鲜味汁 28x100毫升,2,2.0,22.07
黑龙江省,牡丹江市,美极鲜味汁28x100ml,美极鲜味汁 28x100毫升,2,2.0,22.07
安徽省,六安市,美极鲜味汁28x100ml,美极鲜味汁 28x100毫升,2,2.0,21.950000000000003
湖南省,湘潭市,美极鲜味汁28x100ml,美极鲜味汁 28x100毫升,2,2.0,21.939999999999998
河北省,雄安新区,美极鲜味汁12x400ml,美极鲜味汁 12x400毫升,1,1.0,21.91
海南省,万宁市,美极鲜味汁28x100ml,美极鲜味汁 28x100毫升,1,2.0,21.9
广西壮族自治区,防城港市,美极鲜味汁28x100ml,美极鲜味汁 28x100毫升,2,2.0,21.84
黑龙江省,鹤岗市,美极鲜味汁28x100ml,美极鲜味汁 28x100毫升,2,2.0,21.700000000000003
湖南省,邵阳市,美极鲜味汁28x100ml,美极鲜味汁 28x100毫升,2,2.0,21.700000000000003
河南省,濮阳市,美极鲜味汁28x100ml,美极鲜味汁 28x100毫升,2,2.0,21.47
吉林省,白山市,美极鲜味汁28x100ml,美极鲜味汁 28x100毫升,2,2.0,21.47
山西省,晋城市,美极鲜味汁28x100ml,美极鲜味汁 28x100毫升,1,2.0,21.41
安徽省,池州市,美极鲜味汁28x100ml,美极鲜味汁 28x100毫升,2,2.0,21.21
贵州省,黔南布依族苗族自治州,美极鲜味汁28x100ml,美极鲜味汁 28x100毫升,2,2.0,21.07
广西壮族自治区,玉林市,美极鲜味汁28x100ml,美极鲜味汁 28x100毫升,2,2.0,20.8
安徽省,阜阳市,美极鲜味汁28x100ml,美极鲜味汁 28x100毫升,2,2.0,20.8
四川省,泸州市,美极鲜味汁28x100ml,美极鲜味汁 28x100毫升,2,2.0,20.57
河南省,开封市,美极鲜味汁28x100ml,美极鲜味汁 28x100毫升,2,2.0,20.57
四川省,达州市,美极鲜味汁28x100ml,美极鲜味汁 28x100毫升,2,2.0,20.57
吉林省,吉林市,美极鲜味汁28x100ml,美极鲜味汁 28x100毫升,2,2.0,20.57
安徽省,安庆市,美极鲜味汁28x100ml,美极鲜味汁 28x100毫升,2,2.0,20.34
海南省,陵水黎族自治县,美极鲜味汁28x100ml,美极鲜味汁 28x100毫升,1,2.0,20.33
山东省,东营市,美极鲜味汁28x100ml,美极鲜味汁 28x100毫升,1,2.0,20.33
黑龙江省,大庆市,美极鲜味汁28x100ml,美极鲜味汁 28x100毫升,2,2.0,19.97
江西省,赣州市,美极鲜味汁28x100ml,美极鲜味汁 28x100毫升,2,2.0,19.869999999999997
甘肃省,嘉峪关市,美极鲜味汁12x400ml,美极鲜味汁 12x400毫升,1,1.0,19.8
湖南省,湘西土家族苗族自治州,美极鲜味汁28x100ml,美极鲜味汁 28x100毫升,2,2.0,19.71
河南省,安阳市,美极鲜味汁28x100ml,美极鲜味汁 28x100毫升,2,2.0,19.6
黑龙江省,伊春市,美极鲜味汁28x100ml,美极鲜味汁 28x100毫升,1,2.0,18.9
内蒙古自治区,包头市,美极鲜味汁28x100ml,美极鲜味汁 28x100毫升,1,2.0,18.9
云南省,普洱市,美极鲜味汁24x200ml,美极鲜味汁 24x200毫升,1,1.0,17.9
安徽省,铜陵市,美极鲜味汁24x200ml,美极鲜味汁 24x200毫升,1,1.0,17.9
黑龙江省,双鸭山市,美极鲜味汁24x200ml,美极鲜味汁 24x200毫升,1,1.0,17.9
甘肃省,平凉市,美极鲜味汁24x200ml,美极鲜味汁 24x200毫升,1,1.0,17.51
湖北省,恩施土家族苗族自治州,美极鲜味汁24x200ml,美极鲜味汁 24x200毫升,1,1.0,17.51
内蒙古自治区,巴彦淖尔市,美极鲜味汁24x200ml,美极鲜味汁 24x200毫升,1,1.0,15.25
宁夏回族自治区,石嘴山市,美极鲜味汁24x200ml,美极鲜味汁 24x200毫升,1,1.0,15.25
安徽省,安庆市,美极鲜味汁24x200ml,美极鲜味汁 24x200毫升,1,1.0,15.25
黑龙江省,伊春市,美极鲜味汁24x200ml,美极鲜味汁 24x200毫升,1,1.0,15.25
江西省,新余市,美极鲜味汁24x200ml,美极鲜味汁 24x200毫升,1,1.0,15.25
青海省,海西蒙古族藏族自治州,美极鲜味汁24x200ml,美极鲜味汁 24x200毫升,1,1.0,15.25
甘肃省,天水市,美极鲜味汁24x200ml,美极鲜味汁 24x200毫升,1,1.0,15.25
黑龙江省,七台河市,美极鲜味汁24x200ml,美极鲜味汁 24x200毫升,1,1.0,15.25
云南省,红河哈尼族彝族自治州,美极鲜味汁24x200ml,美极鲜味汁 24x200毫升,1,1.0,15.25
内蒙古自治区,乌海市,美极鲜味汁24x200ml,美极鲜味汁 24x200毫升,1,1.0,15.25
广西壮族自治区,贺州市,美极鲜味汁24x200ml,美极鲜味汁 24x200毫升,1,1.0,15.25
江西省,萍乡市,美极鲜味汁24x200ml,美极鲜味汁 24x200毫升,1,1.0,14.8
黑龙江省,鹤岗市,美极鲜味汁24x200ml,美极鲜味汁 24x200毫升,1,1.0,14.8
贵州省,六盘水市,美极鲜味汁28x100ml,美极鲜味汁 28x100毫升,2,2.0,13.8
湖南省,娄底市,美极鲜味汁28x100ml,美极鲜味汁 28x100毫升,1,1.0,11.9
陕西省,铜川市,美极鲜味汁28x100ml,美极鲜味汁 28x100毫升,1,1.0,11.9
广西壮族自治区,钦州市,美极鲜味汁28x100ml,美极鲜味汁 28x100毫升,1,1.0,11.67
河南省,新乡市,美极鲜味汁28x100ml,美极鲜味汁 28x100毫升,1,1.0,11.55
吉林省,四平市,美极鲜味汁28x100ml,美极鲜味汁 28x100毫升,1,1.0,11.55
黑龙江省,黑河市,美极鲜味汁28x100ml,美极鲜味汁 28x100毫升,1,1.0,11.3
广西壮族自治区,百色市,美极鲜味汁28x100ml,美极鲜味汁 28x100毫升,1,1.0,11.04
四川省,阿坝藏族羌族自治州,美极鲜味汁28x100ml,美极鲜味汁 28x100毫升,1,1.0,10.9
湖北省,黄冈市,美极鲜味汁28x100ml,美极鲜味汁 28x100毫升,1,1.0,10.9
黑龙江省,齐齐哈尔市,美极鲜味汁28x100ml,美极鲜味汁 28x100毫升,1,1.0,10.9
贵州省,黔西南布依族苗族自治州,美极鲜味汁28x100ml,美极鲜味汁 28x100毫升,1,1.0,10.9
云南省,红河哈尼族彝族自治州,美极鲜味汁28x100ml,美极鲜味汁 28x100毫升,1,1.0,10.9
湖南省,永州市,美极鲜味汁28x100ml,美极鲜味汁 28x100毫升,1,1.0,10.4
湖北省,宜昌市,美极鲜味汁28x100ml,美极鲜味汁 28x100毫升,1,1.0,10.4
海南省,定安县,美极鲜味汁28x100ml,美极鲜味汁 28x100毫升,1,1.0,10.4
安徽省,黄山市,美极鲜味汁28x100ml,美极鲜味汁 28x100毫升,1,1.0,10.4
四川省,自贡市,美极鲜味汁28x100ml,美极鲜味汁 28x100毫升,1,1.0,10.4
甘肃省,白银市,美极鲜味汁28x100ml,美极鲜味汁 28x100毫升,1,1.0,10.4
陕西省,延安市,美极鲜味汁28x100ml,美极鲜味汁 28x100毫升,1,1.0,10.4
湖南省,衡阳市,美极鲜味汁28x100ml,美极鲜味汁 28x100毫升,1,1.0,10.4
宁夏回族自治区,石嘴山市,美极鲜味汁28x100ml,美极鲜味汁 28x100毫升,1,1.0,10.4
甘肃省,天水市,美极鲜味汁28x100ml,美极鲜味汁 28x100毫升,1,1.0,10.4
云南省,文山壮族苗族自治州,美极鲜味汁28x100ml,美极鲜味汁 28x100毫升,1,1.0,10.4
甘肃省,武威市,美极鲜味汁28x100ml,美极鲜味汁 28x100毫升,1,1.0,10.4
甘肃省,甘南藏族自治州,美极鲜味汁24x200ml,美极鲜味汁 24x200毫升,1,1.0,10.25
黑龙江省,鸡西市,美极鲜味汁28x100ml,美极鲜味汁 28x100毫升,1,1.0,10.17
陕西省,渭南市,美极鲜味汁28x100ml,美极鲜味汁 28x100毫升,1,1.0,10.17
黑龙江省,双鸭山市,美极鲜味汁28x100ml,美极鲜味汁 28x100毫升,1,1.0,10.17
湖北省,咸宁市,美极鲜味汁28x100ml,美极鲜味汁 28x100毫升,1,1.0,10.17
福建省,南平市,美极鲜味汁28x100ml,美极鲜味汁 28x100毫升,1,1.0,10.17
湖北省,潜江市,美极鲜味汁28x100ml,美极鲜味汁 28x100毫升,1,1.0,10.17
海南省,琼中黎族苗族自治县,美极鲜味汁28x100ml,美极鲜味汁 28x100毫升,1,1.0,10.17
黑龙江省,绥化市,美极鲜味汁28x100ml,美极鲜味汁 28x100毫升,1,1.0,10.17
海南省,临高县,美极鲜味汁28x100ml,美极鲜味汁 28x100毫升,1,1.0,10.17
安徽省,马鞍山市,美极鲜味汁28x100ml,美极鲜味汁 28x100毫升,1,1.0,10.17
湖南省,常德市,美极鲜味汁28x100ml,美极鲜味汁 28x100毫升,1,1.0,10.17
陕西省,汉中市,美极鲜味汁28x100ml,美极鲜味汁 28x100毫升,1,1.0,10.17
安徽省,铜陵市,美极鲜味汁28x100ml,美极鲜味汁 28x100毫升,1,1.0,10.05
河南省,许昌市,美极鲜味汁28x100ml,美极鲜味汁 28x100毫升,1,1.0,10.05
山东省,日照市,美极鲜味汁28x100ml,美极鲜味汁 28x100毫升,1,1.0,9.8
云南省,曲靖市,美极鲜味汁28x100ml,美极鲜味汁 28x100毫升,1,1.0,9.8
江西省,鹰潭市,美极鲜味汁28x100ml,美极鲜味汁 28x100毫升,1,1.0,9.17
内蒙古自治区,呼伦贝尔市,美极鲜味汁28x100ml,美极鲜味汁 28x100毫升,1,1.0,6.8
江西省,萍乡市,美极鲜味汁28x100ml,美极鲜味汁 28x100毫升,1,1.0,4.8
