数据月份,省,市,区县,订单行数,数量合计,GMV合计
2月,福建省,宁德市,蕉城区,1,15.0,109.9995
2月,辽宁省,朝阳市,建平县,1,15.0,109.9995
2月,辽宁省,阜新市,阜新蒙古族自治县,1,15.0,109.9995
2月,广东省,广州市,黄埔区,1,15.0,109.6695
2月,江西省,吉安市,永新县,1,15.0,108.0
2月,吉林省,四平市,铁东区,1,15.0,106.9995
2月,江苏省,南通市,如皋市,2,16.0,105.8995
2月,安徽省,宿州市,灵璧县,1,15.0,104.5005
2月,河南省,商丘市,夏邑县,1,15.0,104.5005
2月,江西省,九江市,都昌县,1,15.0,103.0005
2月,山东省,济宁市,任城区,2,16.0,98.90050000000001
2月,江西省,赣州市,宁都县,1,15.0,96.7995
2月,内蒙古自治区,通辽市,科尔沁区,1,15.0,94.9995
2月,安徽省,安庆市,迎江区,1,15.0,94.9995
2月,安徽省,芜湖市,湾沚区,1,15.0,94.9995
2月,湖北省,荆门市,京山市,1,15.0,94.9995
2月,湖南省,永州市,江华瑶族自治县,1,15.0,94.9995
2月,湖南省,长沙市,长沙县,1,15.0,94.9995
2月,福建省,漳州市,诏安县,1,15.0,94.9995
2月,湖南省,永州市,道县,1,15.0,94.6005
2月,辽宁省,丹东市,振兴区,1,12.0,82.0596
2月,江西省,赣州市,全南县,2,10.0,67.3975
2月,山东省,临沂市,平邑县,3,9.0,62.925
2月,江苏省,宿迁市,沭阳县,4,8.0,59.664500000000004
2月,上海,上海市,闵行区,5,8.0,55.1907
2月,陕西省,西安市,雁塔区,3,6.0,50.771
2月,福建省,福州市,福清市,3,6.0,49.6175
2月,陕西省,咸阳市,渭城区,2,6.0,48.82
2月,浙江省,杭州市,萧山区,4,6.0,48.050799999999995
2月,湖北省,武汉市,东西湖区,3,6.0,47.6991
2月,江苏省,淮安市,盱眙县,2,6.0,47.3007
2月,浙江省,台州市,温岭市,2,7.0,46.853699999999996
2月,北京,北京市,丰台区,2,5.0,45.8001
2月,上海,上海市,宝山区,3,5.0,42.4966
2月,山东省,烟台市,福山区,3,6.0,42.0737
2月,广东省,东莞市,塘厦镇,2,6.0,41.6202
2月,广东省,汕头市,龙湖区,3,5.0,41.3798
2月,辽宁省,沈阳市,铁西区,4,5.0,41.144
2月,山东省,滨州市,博兴县,1,5.0,40.9
2月,广东省,中山市,南区街道,1,5.0,40.9
2月,江苏省,连云港市,灌云县,1,5.0,40.9
2月,湖北省,黄石市,大冶市,1,6.0,40.1766
2月,吉林省,长春市,南关区,3,5.0,39.2876
2月,四川省,南充市,阆中市,1,5.0,38.86
2月,浙江省,金华市,浦江县,1,5.0,38.86
2月,福建省,泉州市,南安市,4,5.0,38.5754
2月,浙江省,温州市,乐清市,2,5.0,38.239999999999995
2月,浙江省,杭州市,余杭区,3,5.0,37.9216
2月,安徽省,阜阳市,阜南县,4,5.0,37.0399
2月,上海,上海市,嘉定区,3,4.0,36.939
2月,广东省,汕头市,澄海区,2,5.0,36.1047
2月,广东省,深圳市,宝安区,2,4.0,36.022099999999995
2月,江苏省,苏州市,昆山市,2,4.0,36.022099999999995
2月,云南省,玉溪市,红塔区,2,4.0,34.565799999999996
2月,浙江省,杭州市,临平区,3,5.0,34.549499999999995
2月,湖北省,武汉市,江岸区,2,4.0,34.2408
2月,广东省,珠海市,香洲区,3,4.0,33.54
2月,江苏省,盐城市,东台市,1,6.0,32.8986
2月,江苏省,扬州市,邗江区,2,4.0,32.852599999999995
2月,福建省,龙岩市,长汀县,2,4.0,32.852599999999995
2月,江西省,鹰潭市,月湖区,1,5.0,31.9
2月,山东省,威海市,环翠区,3,3.0,30.922
2月,广东省,广州市,白云区,3,3.0,30.86
2月,福建省,南平市,建瓯市,2,4.0,30.2152
2月,上海,上海市,松江区,4,4.0,30.0728
2月,广东省,东莞市,大朗镇,2,4.0,30.0101
2月,湖北省,襄阳市,谷城县,2,4.0,29.964
2月,广西壮族自治区,南宁市,江南区,2,4.0,29.2961
2月,广东省,深圳市,龙岗区,3,3.0,29.0117
2月,福建省,泉州市,丰泽区,2,4.0,28.5824
2月,辽宁省,沈阳市,皇姑区,2,3.0,28.020400000000002
