数据月份,省,市,区县,订单行数,数量合计,GMV合计
2月,陕西省,榆林市,榆阳区,1,1.0,7.9388
2月,宁夏回族自治区,银川市,金凤区,1,1.0,7.7537
2月,安徽省,安庆市,桐城市,1,1.0,7.7537
2月,安徽省,宣城市,广德市,1,1.0,7.7537
2月,安徽省,淮南市,凤台县,1,1.0,7.7537
2月,安徽省,滁州市,定远县,1,1.0,7.7537
2月,山东省,菏泽市,单县,1,1.0,7.7537
2月,广东省,东莞市,清溪镇,1,1.0,7.7537
2月,江苏省,南京市,六合区,1,1.0,7.7537
2月,江苏省,泰州市,姜堰区,1,1.0,7.7537
2月,河北省,邢台市,南和区,1,1.0,7.7537
2月,湖南省,邵阳市,大祥区,1,1.0,7.7537
2月,贵州省,毕节市,大方县,1,1.0,7.7537
2月,贵州省,贵阳市,花溪区,1,1.0,7.7537
2月,陕西省,西安市,莲湖区,1,1.0,7.7537
2月,河北省,衡水市,安平县,1,1.0,7.63
2月,福建省,三明市,清流县,1,1.0,7.63
2月,重庆,重庆市,大渡口区,1,1.0,7.63
2月,安徽省,宿州市,萧县,1,1.0,7.6083
2月,四川省,资阳市,安岳县,1,1.0,7.3902
2月,辽宁省,朝阳市,双塔区,1,1.0,7.3902
2月,安徽省,滁州市,凤阳县,1,1.0,7.2976
2月,山东省,烟台市,芝罘区,1,1.0,7.2976
2月,广东省,河源市,连平县,1,1.0,7.2976
2月,江苏省,南京市,高淳区,1,1.0,7.2976
2月,河北省,唐山市,路北区,1,1.0,7.2976
2月,河南省,南阳市,邓州市,1,1.0,7.2976
2月,河南省,洛阳市,涧西区,1,1.0,7.2976
2月,浙江省,温州市,龙湾区,1,1.0,7.2976
2月,湖北省,荆州市,监利市,1,1.0,7.2976
2月,福建省,莆田市,涵江区,1,1.0,7.2976
2月,辽宁省,大连市,中山区,1,1.0,7.2976
2月,陕西省,西安市,灞桥区,1,1.0,7.2976
2月,天津,天津市,河西区,1,1.0,7.2315
2月,吉林省,吉林市,丰满区,1,1.0,7.2117
2月,山东省,临沂市,河东区,1,1.0,7.2117
2月,山东省,临沂市,罗庄区,1,1.0,7.2117
2月,广东省,广州市,越秀区,1,1.0,7.2117
2月,广东省,揭阳市,东山区,1,1.0,7.2117
2月,河南省,驻马店市,西平县,1,1.0,7.2117
2月,浙江省,温州市,苍南县,1,1.0,7.2117
2月,山东省,济南市,历城区,1,1.0,7.139
2月,广东省,中山市,火炬开发区,1,1.0,7.139
2月,广东省,梅州市,兴宁市,1,1.0,7.139
2月,安徽省,马鞍山市,雨山区,1,1.0,7.1192
2月,湖南省,岳阳市,岳阳楼区,1,1.0,7.1192
2月,吉林省,四平市,梨树县,1,1.0,7.0266
2月,云南省,西双版纳傣族自治州,景洪市,1,1.0,6.8415
2月,吉林省,通化市,东昌区,1,1.0,6.8415
2月,四川省,成都市,温江区,1,1.0,6.8415
2月,安徽省,合肥市,肥西县,1,1.0,6.8415
2月,安徽省,安庆市,望江县,1,1.0,6.8415
2月,山东省,潍坊市,青州市,1,1.0,6.8415
2月,广东省,东莞市,麻涌镇,1,1.0,6.8415
2月,广东省,中山市,石岐区街道,1,1.0,6.8415
2月,广东省,广州市,增城区,1,1.0,6.8415
2月,广东省,汕尾市,陆丰市,1,1.0,6.8415
2月,江西省,上饶市,广信区,1,1.0,6.8415
2月,江西省,上饶市,弋阳县,1,1.0,6.8415
2月,江西省,抚州市,金溪县,1,1.0,6.8415
2月,河北省,廊坊市,文安县,1,1.0,6.8415
2月,河北省,承德市,宽城满族自治县,1,1.0,6.8415
2月,河南省,安阳市,殷都区,1,1.0,6.8415
2月,河南省,洛阳市,嵩县,1,1.0,6.8415
2月,湖北省,孝感市,孝南区,1,1.0,6.8415
2月,湖南省,衡阳市,衡东县,1,1.0,6.8415
2月,辽宁省,鞍山市,立山区,1,1.0,6.8415
2月,重庆,重庆市,南岸区,1,1.0,6.8415
2月,湖北省,黄冈市,红安县,1,1.0,6.3854
2月,辽宁省,沈阳市,浑南区,1,1.0,6.3854
2月,辽宁省,沈阳市,辽中区,1,1.0,6.3854
2月,广东省,东莞市,沙田镇,1,1.0,5.9
2月,广东省,广州市,荔湾区,1,1.0,5.9
2月,江苏省,无锡市,江阴市,1,1.0,5.8169
2月,河南省,驻马店市,驿城区,1,1.0,5.8169
2月,湖北省,黄石市,黄石港区,1,1.0,5.8169
2月,湖南省,娄底市,新化县,1,1.0,4.9
2月,河南省,南阳市,新野县,1,1.0,4.6139
2月,山西省,太原市,晋源区,1,1.0,4.5941
2月,广东省,汕头市,潮南区,1,1.0,3.27
2月,安徽省,芜湖市,弋江区,1,2.0,3.239
2月,吉林省,白城市,洮北区,1,1.0,0.9
2月,江西省,九江市,武宁县,1,1.0,0.9
2月,陕西省,安康市,汉滨区,1,1.0,0.9
3月,山东省,菏泽市,巨野县,17,255.0,1601.007
3月,广东省,东莞市,常平镇,7,208.0,1421.0157
3月,广东省,揭阳市,榕城区,2,201.0,1325.742
3月,浙江省,杭州市,萧山区,16,190.0,1325.4378
3月,浙江省,温州市,平阳县,7,140.0,937.6057000000001
3月,浙江省,宁波市,鄞州区,5,125.0,890.5699
3月,山东省,泰安市,新泰市,3,122.0,810.5634
3月,浙江省,金华市,义乌市,15,88.0,636.9096
3月,福建省,漳州市,龙海区,2,95.0,627.968
3月,上海,上海市,松江区,15,86.0,613.2411
3月,浙江省,宁波市,北仑区,6,86.0,612.6745
3月,陕西省,咸阳市,秦都区,4,83.0,595.0219999999999
3月,海南省,省直辖县级行政区划,澄迈县,7,83.0,593.376
3月,浙江省,温州市,文成县,2,84.0,592.55
3月,湖北省,咸宁市,赤壁市,3,82.0,587.0712
3月,江西省,南昌市,进贤县,2,81.0,575.4019999999999
3月,福建省,南平市,武夷山市,2,80.0,572.0
3月,贵州省,毕节市,黔西市,1,80.0,566.28
3月,黑龙江省,牡丹江市,宁安市,1,80.0,566.28
3月,海南省,海口市,龙华区,5,77.0,554.1947
3月,辽宁省,沈阳市,于洪区,2,81.0,546.1479999999999
3月,湖北省,孝感市,汉川市,4,82.0,527.61
3月,贵州省,贵阳市,观山湖区,4,74.0,521.1764000000001
3月,海南省,海口市,秀英区,3,82.0,511.394
3月,浙江省,宁波市,慈溪市,13,72.0,509.6789
3月,福建省,宁德市,霞浦县,2,80.0,503.36
3月,江苏省,扬州市,宝应县,3,74.0,498.61
3月,浙江省,温州市,瑞安市,7,77.0,498.5275
3月,河南省,郑州市,二七区,1,80.0,498.328
3月,安徽省,阜阳市,颍东区,2,80.0,491.92
3月,江苏省,徐州市,丰县,1,80.0,486.28
3月,上海,上海市,浦东新区,20,63.0,478.32719999999995
3月,江苏省,常州市,武进区,9,67.0,476.56
3月,山东省,威海市,环翠区,15,61.0,469.684
3月,上海,上海市,嘉定区,7,61.0,442.7603
3月,浙江省,绍兴市,柯桥区,4,60.0,433.42629999999997
3月,浙江省,杭州市,余杭区,8,55.0,416.67589999999996
3月,江苏省,苏州市,张家港市,6,60.0,404.9564
3月,海南省,省直辖县级行政区划,乐东黎族自治县,2,55.0,392.9995
3月,广东省,深圳市,宝安区,11,59.0,392.8648
3月,江西省,吉安市,永新县,2,55.0,391.0
3月,海南省,省直辖县级行政区划,临高县,3,56.0,387.522
3月,上海,上海市,青浦区,10,53.0,380.34110000000004
3月,广东省,汕头市,澄海区,3,51.0,371.1905
3月,浙江省,杭州市,上城区,6,51.0,366.7558
3月,浙江省,温州市,泰顺县,3,56.0,355.80150000000003
3月,江苏省,南京市,江宁区,7,47.0,350.108
3月,山东省,聊城市,东昌府区,6,47.0,326.99580000000003
3月,浙江省,金华市,武义县,3,45.0,326.92
3月,江苏省,南通市,海门区,3,44.0,321.91999999999996
3月,江苏省,宿迁市,沭阳县,3,44.0,316.0389
3月,安徽省,滁州市,天长市,4,47.0,315.0705
3月,辽宁省,沈阳市,沈北新区,3,43.0,312.2424
3月,广东省,广州市,南沙区,2,43.0,310.9
3月,福建省,莆田市,仙游县,3,44.0,309.7999
3月,安徽省,宿州市,灵璧县,2,43.0,306.7201
3月,广东省,佛山市,禅城区,3,42.0,303.632
3月,浙江省,温州市,永嘉县,3,42.0,301.5537
3月,广东省,东莞市,厚街镇,4,44.0,299.922
3月,云南省,西双版纳傣族自治州,景洪市,2,41.0,296.9
3月,江苏省,苏州市,相城区,2,41.0,296.9
3月,浙江省,宁波市,奉化区,2,41.0,295.122
3月,江西省,上饶市,广丰区,2,41.0,293.7537
3月,浙江省,丽水市,缙云县,2,41.0,293.7537
3月,江西省,景德镇市,乐平市,2,42.0,289.12
3月,内蒙古自治区,呼和浩特市,土默特左旗,1,40.0,286.0
3月,山西省,晋中市,榆次区,1,40.0,286.0
3月,江西省,赣州市,石城县,1,40.0,286.0
3月,浙江省,丽水市,莲都区,1,40.0,286.0
3月,浙江省,绍兴市,新昌县,1,40.0,286.0
3月,湖北省,宜昌市,猇亭区,1,40.0,286.0
3月,湖北省,省直辖县级行政区划,天门市,1,40.0,286.0
3月,湖北省,鄂州市,鄂城区,1,40.0,286.0
3月,湖南省,株洲市,芦淞区,1,40.0,286.0
3月,甘肃省,嘉峪关市,嘉峪关市,1,40.0,286.0
3月,贵州省,毕节市,七星关区,1,40.0,286.0
3月,贵州省,黔东南苗族侗族自治州,凯里市,1,40.0,286.0
3月,贵州省,黔南布依族苗族自治州,福泉市,1,40.0,286.0
3月,重庆,重庆市,其他区,1,40.0,286.0
3月,广东省,东莞市,大岭山镇,2,41.0,285.434
3月,江苏省,盐城市,大丰区,2,43.0,285.4301
3月,江西省,抚州市,宜黄县,1,40.0,284.0
3月,安徽省,芜湖市,三山区,1,40.0,283.0
3月,江西省,萍乡市,莲花县,2,43.0,281.13059999999996
3月,浙江省,台州市,临海市,2,41.0,279.88
3月,海南省,乐东黎族自治县,抱由镇,1,40.0,279.0
3月,江苏省,盐城市,亭湖区,3,43.0,276.672
3月,浙江省,台州市,路桥区,3,42.0,275.59759999999994
3月,北京,北京市,昌平区,3,42.0,274.4237
3月,海南省,省直辖县级行政区划,万宁市,2,41.0,274.02
3月,江苏省,扬州市,江都区,4,43.0,273.9517
3月,湖南省,长沙市,岳麓区,2,41.0,271.8169
3月,云南省,西双版纳傣族自治州,勐腊县,1,40.0,271.7
3月,江苏省,南通市,海安市,1,40.0,271.7
3月,湖南省,株洲市,荷塘区,1,40.0,271.7
3月,吉林省,吉林市,丰满区,1,40.0,268.84
3月,湖南省,张家界市,慈利县,1,40.0,268.84
3月,云南省,昆明市,五华区,2,41.0,266.12
3月,河南省,商丘市,夏邑县,1,40.0,266.0
3月,江苏省,淮安市,涟水县,1,40.0,265.98
3月,山东省,济宁市,泗水县,1,40.0,257.4
3月,广西壮族自治区,柳州市,柳江区,1,40.0,257.4
3月,湖南省,湘潭市,岳塘区,1,40.0,257.4
3月,湖南省,衡阳市,耒阳市,1,40.0,257.4
3月,安徽省,阜阳市,颍上县,1,40.0,254.54
3月,河北省,唐山市,玉田县,1,40.0,254.54
3月,河南省,信阳市,固始县,1,40.0,254.54
3月,浙江省,台州市,天台县,1,40.0,254.54
3月,江苏省,无锡市,江阴市,2,41.0,253.07920000000001
3月,河北省,保定市,定州市,1,40.0,251.68
3月,浙江省,温州市,苍南县,1,40.0,251.68
3月,浙江省,台州市,黄岩区,4,34.0,251.0194
3月,湖北省,荆州市,监利市,1,40.0,248.82
3月,湖南省,娄底市,新化县,1,40.0,245.96
3月,山东省,济南市,长清区,1,40.0,243.1
3月,山西省,太原市,晋源区,1,40.0,243.1
3月,湖南省,岳阳市,汨罗市,1,40.0,243.1
3月,江苏省,连云港市,东海县,1,40.0,240.96
3月,福建省,福州市,长乐区,4,35.0,234.49949999999998
3月,安徽省,宣城市,宣州区,2,30.0,219.999
3月,海南省,白沙黎族自治县,邦溪镇,2,30.0,219.999
3月,浙江省,丽水市,龙泉市,4,34.0,219.84109999999998
3月,广东省,潮州市,潮安区,4,34.0,210.3363
3月,江苏省,常州市,钟楼区,4,34.0,208.5521
3月,江苏省,盐城市,响水县,2,30.0,204.999
3月,江苏省,徐州市,邳州市,2,30.0,195.999
3月,海南省,海口市,琼山区,4,24.0,191.7757
3月,广东省,深圳市,龙岗区,16,23.0,186.4386
3月,江西省,南昌市,西湖区,2,30.0,182.4
3月,山东省,烟台市,福山区,14,21.0,179.9817
3月,陕西省,咸阳市,渭城区,6,23.0,178.5251
3月,广东省,佛山市,三水区,9,21.0,175.3072
3月,江苏省,苏州市,昆山市,14,21.0,170.8619
3月,广东省,广州市,海珠区,6,22.0,167.5553
3月,浙江省,台州市,温岭市,6,21.0,167.0015
3月,北京,北京市,朝阳区,8,24.0,166.7593
3月,浙江省,温州市,乐清市,4,23.0,166.2295
3月,北京,北京市,海淀区,6,21.0,164.3875
3月,广东省,佛山市,南海区,11,19.0,158.4001
3月,黑龙江省,齐齐哈尔市,拜泉县,2,21.0,155.0
3月,广东省,广州市,增城区,6,20.0,154.0625
3月,安徽省,阜阳市,临泉县,3,22.0,153.739
3月,安徽省,淮南市,凤台县,3,21.0,152.0671
3月,浙江省,金华市,永康市,5,21.0,149.997
3月,安徽省,宣城市,广德市,4,23.0,148.7412
3月,湖北省,黄冈市,武穴市,4,22.0,148.6529
3月,江苏省,无锡市,新吴区,4,19.0,147.1419
3月,辽宁省,锦州市,太和区,1,20.0,147.0
3月,浙江省,嘉兴市,嘉善县,4,19.0,146.1435
3月,广东省,东莞市,塘厦镇,3,19.0,145.0214
3月,陕西省,西安市,未央区,6,20.0,144.9697
3月,浙江省,湖州市,安吉县,3,19.0,144.56529999999998
3月,浙江省,杭州市,拱墅区,7,21.0,141.6441
3月,江苏省,淮安市,淮安区,2,19.0,140.8995
3月,海南省,省直辖县级行政区划,定安县,3,19.0,140.3296
3月,山东省,青岛市,市北区,4,18.0,136.0215
3月,江西省,吉安市,新干县,2,18.0,135.89939999999999
3月,浙江省,金华市,磐安县,2,18.0,133.7301
3月,浙江省,温州市,瓯海区,3,19.0,133.5304
3月,安徽省,滁州市,凤阳县,3,20.0,130.649
3月,上海,上海市,崇明区,2,17.0,128.8995
3月,浙江省,杭州市,临安区,2,18.0,128.508
3月,江苏省,泰州市,靖江市,5,19.0,126.0396
3月,浙江省,金华市,金东区,3,18.0,124.7995
3月,重庆,重庆市,万州区,2,16.0,120.8995
3月,广东省,广州市,白云区,11,16.0,120.2389
3月,浙江省,温州市,龙港市,3,18.0,119.1927
3月,江苏省,宿迁市,泗洪县,2,16.0,119.1215
3月,福建省,福州市,闽侯县,2,16.0,119.1215
3月,广西壮族自治区,玉林市,玉州区,2,18.0,118.7301
3月,湖北省,武汉市,新洲区,2,16.0,117.5748
3月,安徽省,淮南市,田家庵区,2,16.0,117.1385
3月,山东省,菏泽市,牡丹区,2,16.0,115.8995
3月,辽宁省,铁岭市,调兵山市,2,16.0,115.2695
3月,广西壮族自治区,南宁市,西乡塘区,3,18.0,114.1932
3月,甘肃省,武威市,凉州区,2,16.0,112.7537
3月,湖南省,常德市,桃源县,2,17.0,110.2005
3月,内蒙古自治区,乌海市,海南区,1,15.0,109.9995
3月,天津,天津市,滨海新区,1,15.0,109.9995
3月,宁夏回族自治区,中卫市,沙坡头区,1,15.0,109.9995
3月,安徽省,淮南市,寿县,1,15.0,109.9995
3月,安徽省,马鞍山市,花山区,1,15.0,109.9995
3月,山东省,枣庄市,峄城区,1,15.0,109.9995
3月,山东省,枣庄市,滕州市,1,15.0,109.9995
3月,山东省,潍坊市,寒亭区,1,15.0,109.9995
3月,山西省,临汾市,洪洞县,1,15.0,109.9995
3月,广西壮族自治区,桂林市,平乐县,1,15.0,109.9995
3月,江西省,吉安市,遂川县,1,15.0,109.9995
3月,江西省,宜春市,万载县,1,15.0,109.9995
3月,江西省,宜春市,上高县,1,15.0,109.9995
3月,河南省,南阳市,邓州市,1,15.0,109.9995
3月,河南省,周口市,郸城县,1,15.0,109.9995
3月,海南省,琼海市,长坡镇,1,15.0,109.9995
3月,海南省,省直辖县级行政区划,屯昌县,1,15.0,109.9995
3月,湖北省,荆州市,松滋市,1,15.0,109.9995
3月,湖南省,衡阳市,衡山县,1,15.0,109.9995
3月,甘肃省,酒泉市,敦煌市,1,15.0,109.9995
3月,福建省,泉州市,安溪县,1,15.0,109.9995
3月,贵州省,黔东南苗族侗族自治州,黄平县,1,15.0,109.9995
3月,辽宁省,阜新市,阜新蒙古族自治县,1,15.0,109.9995
3月,青海省,海东市,民和回族土族自治县,1,15.0,109.9995
3月,湖南省,长沙市,长沙县,2,17.0,108.9
3月,上海,上海市,宝山区,10,12.0,108.59609999999999
3月,陕西省,咸阳市,兴平市,1,15.0,106.9995
3月,陕西省,西安市,灞桥区,1,15.0,106.9995
3月,江西省,南昌市,青云谱区,1,15.0,106.0005
3月,广东省,佛山市,顺德区,8,12.0,105.799
3月,安徽省,芜湖市,南陵县,1,15.0,104.5005
3月,甘肃省,酒泉市,肃州区,1,15.0,104.5005
3月,江西省,九江市,浔阳区,2,16.0,104.1215
3月,福建省,泉州市,南安市,2,16.0,104.1215
3月,福建省,福州市,平潭县,1,15.0,103.3995
3月,江苏省,南京市,六合区,2,16.0,103.2093
3月,江西省,南昌市,青山湖区,8,12.0,102.77
3月,浙江省,湖州市,德清县,2,16.0,102.6215
3月,河南省,洛阳市,汝阳县,1,15.0,100.0005
3月,安徽省,宿州市,萧县,2,15.0,99.1905
3月,安徽省,合肥市,包河区,5,11.0,95.7321
3月,吉林省,白山市,浑江区,1,15.0,94.9995
3月,江苏省,南通市,如皋市,1,15.0,94.9995
3月,江西省,南昌市,新建区,1,15.0,94.9995
3月,浙江省,绍兴市,绍兴县,1,15.0,94.9995
3月,湖南省,湘潭市,雨湖区,1,15.0,94.9995
3月,黑龙江省,哈尔滨市,尚志市,1,15.0,94.9995
3月,浙江省,嘉兴市,海盐县,5,13.0,94.2519
3月,江西省,新余市,渝水区,2,16.0,90.9
3月,江苏省,徐州市,铜山区,1,15.0,90.0
3月,湖南省,株洲市,茶陵县,1,15.0,90.0
3月,福建省,宁德市,蕉城区,1,15.0,90.0
3月,辽宁省,抚顺市,望花区,1,15.0,90.0
3月,黑龙江省,哈尔滨市,双城区,1,15.0,88.0005
3月,浙江省,杭州市,西湖区,4,10.0,84.2999
3月,江苏省,苏州市,吴江区,5,9.0,83.722
3月,上海,上海市,静安区,5,9.0,81.7219
3月,内蒙古自治区,呼伦贝尔市,鄂伦春自治旗,2,11.0,81.5004
3月,上海,上海市,闵行区,7,10.0,81.4068
3月,浙江省,金华市,东阳市,8,10.0,80.487
3月,广东省,广州市,黄埔区,7,9.0,79.1179
3月,浙江省,嘉兴市,秀洲区,4,9.0,76.82039999999999
3月,江苏省,盐城市,阜宁县,2,11.0,74.8599
3月,广西壮族自治区,南宁市,江南区,5,11.0,72.9663
3月,安徽省,亳州市,谯城区,6,10.0,71.5486
3月,江苏省,泰州市,海陵区,2,9.0,70.3124
3月,江苏省,盐城市,建湖县,4,9.0,69.39609999999999
3月,广东省,深圳市,福田区,4,8.0,69.3407
3月,江苏省,无锡市,梁溪区,4,8.0,68.3395
3月,广东省,惠州市,惠城区,4,9.0,67.7264
3月,上海,上海市,金山区,6,8.0,65.3229
3月,湖北省,襄阳市,樊城区,3,8.0,64.76769999999999
3月,广东省,东莞市,虎门镇,5,8.0,62.2211
3月,浙江省,宁波市,海曙区,3,7.0,61.922
3月,福建省,莆田市,荔城区,3,7.0,61.922
3月,湖南省,怀化市,溆浦县,3,9.0,61.2522
3月,山东省,烟台市,龙口市,1,8.0,61.1904
3月,辽宁省,沈阳市,大东区,4,8.0,59.744
3月,甘肃省,兰州市,城关区,5,6.0,58.943999999999996
3月,贵州省,贵阳市,南明区,3,7.0,57.92829999999999
3月,陕西省,西安市,高陵区,4,7.0,56.248599999999996
3月,浙江省,宁波市,余姚市,4,6.0,54.266099999999994
3月,福建省,福州市,仓山区,3,6.0,52.969899999999996
3月,广东省,珠海市,香洲区,4,6.0,52.821999999999996
3月,云南省,昆明市,呈贡区,2,6.0,51.8
3月,山东省,青岛市,城阳区,4,6.0,51.3619
3月,陕西省,榆林市,绥德县,1,6.0,51.2898
3月,北京,北京市,大兴区,4,6.0,50.8718
3月,广西壮族自治区,南宁市,良庆区,4,7.0,50.713899999999995
3月,上海,上海市,徐汇区,4,6.0,50.4041
3月,湖北省,恩施土家族苗族自治州,恩施市,2,6.0,50.022
3月,辽宁省,锦州市,凌河区,2,6.0,50.022
3月,江西省,赣州市,全南县,2,7.0,49.3702
3月,浙江省,嘉兴市,平湖市,3,6.0,48.7526
3月,山东省,潍坊市,高新区,2,6.0,46.790099999999995
3月,上海,上海市,奉贤区,4,5.0,46.266
3月,福建省,泉州市,晋江市,3,5.0,45.921899999999994
3月,湖南省,长沙市,芙蓉区,4,5.0,45.8624
3月,广东省,广州市,花都区,5,5.0,45.717600000000004
3月,北京,北京市,通州区,3,5.0,44.9126
3月,广东省,东莞市,大朗镇,3,6.0,44.144
3月,安徽省,合肥市,长丰县,3,5.0,44.1439
3月,广东省,深圳市,龙华区,3,5.0,43.7526
3月,广东省,东莞市,黄江镇,4,5.0,43.0733
3月,江苏省,苏州市,工业园区,5,5.0,42.4335
3月,浙江省,绍兴市,上虞区,2,5.0,41.7962
3月,江苏省,苏州市,虎丘区,3,5.0,41.5221
3月,江苏省,扬州市,邗江区,2,5.0,41.3083
3月,安徽省,蚌埠市,蚌山区,1,6.0,41.04
3月,云南省,德宏傣族景颇族自治州,盈江县,1,5.0,40.9
3月,湖南省,长沙市,望城区,3,5.0,40.606300000000005
3月,山东省,济宁市,任城区,2,5.0,39.8397
3月,广东省,东莞市,东城区,2,5.0,39.5961
3月,江苏省,苏州市,吴中区,4,4.0,38.9534
3月,江苏省,无锡市,惠山区,4,4.0,38.1867
3月,浙江省,温州市,鹿城区,4,5.0,38.126599999999996
3月,江苏省,南京市,浦口区,4,4.0,37.7635
3月,湖北省,武汉市,江岸区,3,5.0,37.2035
3月,安徽省,阜阳市,颍州区,3,4.0,37.142399999999995
3月,四川省,成都市,金牛区,3,4.0,36.7404
3月,广东省,广州市,番禺区,4,4.0,36.559200000000004
3月,河南省,南阳市,卧龙区,2,5.0,36.53
3月,江苏省,南京市,栖霞区,3,7.0,36.4537
3月,河北省,沧州市,黄骅市,2,4.0,36.2599
3月,广东省,珠海市,金湾区,3,4.0,35.922
3月,山西省,太原市,万柏林区,4,4.0,35.769999999999996
3月,辽宁省,丹东市,振兴区,3,5.0,35.0701
3月,浙江省,湖州市,吴兴区,3,5.0,35.0565
3月,山东省,济南市,历城区,2,4.0,35.0219
3月,江苏省,连云港市,灌南县,2,4.0,35.0219
3月,广东省,深圳市,坪山区,2,4.0,34.6306
3月,安徽省,合肥市,蜀山区,4,4.0,34.5874
3月,陕西省,西安市,长安区,3,4.0,34.4058
3月,安徽省,蚌埠市,龙子湖区,2,5.0,34.3029
3月,福建省,泉州市,惠安县,2,5.0,33.842
3月,海南省,三亚市,吉阳区,2,4.0,33.6536
3月,河北省,保定市,竞秀区,2,4.0,33.64
3月,湖北省,荆州市,公安县,2,4.0,32.92
3月,辽宁省,鞍山市,岫岩满族自治县,2,4.0,32.912
3月,四川省,成都市,武侯区,2,4.0,32.852599999999995
3月,江苏省,淮安市,清江浦区,3,4.0,32.4692
3月,河南省,许昌市,魏都区,2,4.0,32.3965
3月,江苏省,苏州市,太仓市,3,4.0,31.4313
3月,江苏省,徐州市,鼓楼区,3,3.0,30.922
3月,江西省,萍乡市,安源区,1,4.0,30.9
3月,河北省,廊坊市,三河市,1,4.0,30.9
3月,河南省,开封市,杞县,1,4.0,30.9
3月,湖南省,永州市,东安县,1,4.0,30.9
3月,陕西省,西安市,新城区,1,4.0,30.9
3月,广东省,东莞市,寮步镇,3,4.0,30.7757
3月,山东省,青岛市,胶州市,3,4.0,30.6176
3月,湖北省,孝感市,孝南区,2,4.0,30.4796
3月,四川省,成都市,双流区,2,4.0,29.8421
3月,湖北省,省直辖县级行政区划,潜江市,2,4.0,29.8421
3月,山东省,临沂市,兰山区,3,3.0,29.831400000000002
3月,湖北省,宜昌市,当阳市,3,4.0,29.622899999999998
3月,北京,北京市,东城区,3,3.0,29.5537
3月,山东省,淄博市,临淄区,1,4.0,29.36
3月,浙江省,丽水市,庆元县,1,4.0,29.36
3月,浙江省,金华市,婺城区,1,4.0,29.36
3月,湖南省,永州市,江华瑶族自治县,1,4.0,29.36
3月,江西省,赣州市,章贡区,2,4.0,29.2961
3月,北京,北京市,丰台区,3,3.0,29.144
3月,安徽省,合肥市,高新技术开发区,3,3.0,29.144
3月,江苏省,南通市,崇川区,3,3.0,29.144
3月,江苏省,镇江市,京口区,3,3.0,28.9192
3月,上海,上海市,普陀区,2,3.0,28.799999999999997
3月,吉林省,长春市,南关区,1,4.0,28.43
3月,山东省,临沂市,罗庄区,3,3.0,28.143700000000003
3月,江苏省,苏州市,常熟市,3,3.0,28.0534
3月,安徽省,合肥市,巢湖市,2,3.0,28.022
3月,上海,上海市,黄浦区,2,3.0,28.020400000000002
3月,江苏省,连云港市,海州区,2,3.0,28.020400000000002
3月,浙江省,绍兴市,诸暨市,2,3.0,28.020400000000002
3月,安徽省,芜湖市,繁昌区,1,4.0,27.81
3月,河北省,省直辖县级行政区划,定州市,1,4.0,27.81
3月,浙江省,嘉兴市,桐乡市,3,3.0,27.4757
3月,辽宁省,本溪市,明山区,1,3.0,27.0951
3月,福建省,福州市,晋安区,3,3.0,26.964
3月,内蒙古自治区,兴安盟,科尔沁右翼前旗,1,3.0,26.9001
3月,河南省,鹤壁市,山城区,1,3.0,26.9001
3月,贵州省,贵阳市,云岩区,1,3.0,26.9001
3月,辽宁省,葫芦岛市,龙港区,1,3.0,26.9001
3月,浙江省,湖州市,南浔区,2,3.0,26.8
3月,海南省,省直辖县级行政区划,五指山市,2,3.0,26.6537
3月,重庆,重庆市,长寿区,2,3.0,26.6537
3月,湖北省,武汉市,硚口区,2,4.0,26.5426
3月,云南省,昭通市,昭阳区,1,3.0,25.8999
3月,四川省,内江市,东兴区,1,3.0,25.8999
3月,四川省,成都市,温江区,1,3.0,25.8999
3月,安徽省,合肥市,庐阳区,1,3.0,25.8999
3月,安徽省,滁州市,来安县,1,3.0,25.8999
3月,安徽省,芜湖市,镜湖区,1,3.0,25.8999
3月,广东省,中山市,古镇镇,1,3.0,25.8999
3月,河北省,石家庄市,桥西区,1,3.0,25.8999
3月,浙江省,湖州市,长兴县,1,3.0,25.8999
3月,浙江省,衢州市,柯城区,1,3.0,25.8999
3月,湖南省,怀化市,辰溪县,1,3.0,25.8999
3月,陕西省,西安市,鄠邑区,1,3.0,25.8999
3月,湖北省,黄冈市,黄州区,3,3.0,25.0194
3月,广东省,江门市,新会区,2,4.0,24.919999999999998
3月,广东省,东莞市,沙田镇,1,3.0,24.9
3月,福建省,泉州市,石狮市,2,3.0,24.8741
3月,广东省,潮州市,饶平县,2,4.0,24.8211
3月,江西省,宜春市,丰城市,2,3.0,24.762700000000002
3月,安徽省,合肥市,肥西县,3,3.0,24.6294
3月,湖北省,省直辖县级行政区划,仙桃市,3,3.0,24.451
3月,河北省,石家庄市,长安区,3,3.0,24.404700000000002
3月,山东省,菏泽市,定陶区,2,3.0,24.3519
3月,安徽省,滁州市,南谯区,2,3.0,23.8759
3月,内蒙古自治区,兴安盟,扎赉特旗,1,3.0,23.7306
3月,广东省,东莞市,南城区,1,3.0,23.7306
3月,广东省,中山市,沙溪镇,1,3.0,23.7306
3月,福建省,漳州市,漳浦县,1,3.0,23.7306
3月,陕西省,咸阳市,旬邑县,1,3.0,23.7306
3月,吉林省,通化市,通化县,1,3.0,23.31
3月,江苏省,徐州市,沛县,1,3.0,23.31
3月,安徽省,安庆市,宜秀区,1,3.0,22.5474
